Date,Product,Category,Quantity,Price,Total,Region,CustomerType
01-01-2024,Laptop,Electronics,1,55000,55000,Mumbai,New
02-01-2024,Mobile,Electronics,2,15000,30000,Delhi,Returning
03-01-2024,Headphones,Electronics,3,2000,6000,Bangalore,New
04-01-2024,Shoes,Fashion,2,2500,5000,Mumbai,New
04-01-2024,Jeans,Fashion,1,1800,1800,Pune,Returning
05-01-2024,T-Shirt,Fashion,4,500,2000,Delhi,New
06-01-2024,Tablet,Electronics,1,22000,22000,Chennai,Returning
07-01-2024,TV,Electronics,1,42000,42000,Mumbai,New
08-01-2024,Washing Machine,Home,1,18000,18000,Pune,Returning
08-01-2024,Fridge,Home,1,30000,30000,Delhi,New
09-01-2024,Microwave,Home,1,9000,9000,Bangalore,Returning
10-01-2024,Laptop,Electronics,1,60000,60000,Chennai,New
11-01-2024,Mobile,Electronics,1,14000,14000,Mumbai,New
12-01-2024,Shoes,Fashion,3,2500,7500,Delhi,Returning
13-01-2024,Jeans,Fashion,2,1700,3400,Bangalore,New
14-01-2024,T-Shirt,Fashion,5,450,2250,Pune,New
14-01-2024,Tablet,Electronics,1,21000,21000,Mumbai,Returning
15-01-2024,TV,Electronics,1,38000,38000,Chennai,New
16-01-2024,Fridge,Home,1,29000,29000,Delhi,Returning
17-01-2024,Microwave,Home,2,9000,18000,Mumbai,New
18-01-2024,Mobile,Electronics,3,16000,48000,Chennai,Returning
19-01-2024,Headphones,Electronics,2,1800,3600,Pune,New
20-01-2024,Tablet,Electronics,1,23000,23000,Delhi,New
20-01-2024,Shoes,Fashion,1,2600,2600,Bangalore,New
21-01-2024,Jeans,Fashion,3,1600,4800,Mumbai,Returning
22-01-2024,Laptop,Electronics,1,58000,58000,Pune,New
23-01-2024,Mobile,Electronics,2,15500,31000,Delhi,Returning
24-01-2024,T-Shirt,Fashion,4,550,2200,Mumbai,New
25-01-2024,TV,Electronics,1,40000,40000,Pune,New
26-01-2024,Washing Machine,Home,1,19000,19000,Chennai,Returning
27-01-2024,Microwave,Home,1,8500,8500,Delhi,New
28-01-2024,Fridge,Home,1,31000,31000,Mumbai,Returning
29-01-2024,Shoes,Fashion,2,2400,4800,Pune,New
29-01-2024,Jeans,Fashion,1,1500,1500,Delhi,Returning
30-01-2024,Mobile,Electronics,1,14500,14500,Chennai,New
01-02-2024,Headphones,Electronics,4,1800,7200,Mumbai,New
02-02-2024,Tablet,Electronics,1,22000,22000,Pune,Returning
03-02-2024,Laptop,Electronics,1,59000,59000,Delhi,New
04-02-2024,T-Shirt,Fashion,3,500,1500,Bangalore,New
05-02-2024,Jeans,Fashion,1,1700,1700,Mumbai,Returning
06-02-2024,TV,Electronics,1,41000,41000,Chennai,New
07-02-2024,Fridge,Home,1,29500,29500,Delhi,New
08-02-2024,Washing Machine,Home,1,18500,18500,Bangalore,Returning
09-02-2024,Microwave,Home,2,9500,19000,Mumbai,New
10-02-2024,Shoes,Fashion,1,2600,2600,Pune,New
10-02-2024,Mobile,Electronics,1,15000,15000,Delhi,Returning
11-02-2024,Laptop,Electronics,1,62000,62000,Chennai,New
12-02-2024,Headphones,Electronics,2,2000,4000,Mumbai,Returning
13-02-2024,Tablet,Electronics,1,22500,22500,Pune,New
